case_index,sha256,sha8,arch,decision,source_of_verdict,firmware_dir,binary_name,binary_path,file_type,heartbeat_string_count,heartbeat_string_sample,evidence,case_study_root,binary_path_abs
75,4c71fb765448aeab8ef517bcbdc3d5433ac2c6764852f53c3288d53607c384a1,4c71fb76,arm,on,unique_hash_full_dolphin_reuse,IPcamera-tp-link_zh-1.0.1e__TL-IPC525K-P--D,libssl.so.1.0.0,3-case-study/extracted/heartbleed/IPcamera-tp-link_zh-1.0.1e__TL-IPC525K-P--D/_IPcamera-tp-link_zh-1.0.1e__TL-IPC525K-P--D.BIN.extracted/libssl.so.1.0.0,"ELF 32-bit LSB shared object, ARM, EABI5 version 1 (SYSV), dynamically linked, BuildID[sha1]=6e74922e5b9f52bb3f5788a8d517b42402b1f0c9, stripped",2,dtls1_heartbeat | dtls1_process_heartbeat,"In ssl3_read_bytes (edge_2), a switch statement on TLS record type dispatches case 24 (0x18 = TLS1_RT_HEARTBEAT) directly to tls1_process_heartbeat(a1), confirming heartbeat messages are received and processed in the live SSL read path. Additionally, edge_3 reveals tls1_process_heartbeat reads a 1-byte heartbeat type and 2-byte big-endian payload length from the wire (v6 = v4[2] | (v4[1] << 8)), then on type==1 allocates a response buffer, sets type=2, and does memcpy(v8+3, v4+3, v6) using the wire-controlled length without validating against actual record length — the classic Heartbleed over-read pattern. edge_1 shows the DTLS variant dtls1_process_heartbeat with identical logic calling dtls1_write_bytes. All three feature hint functions (tls1_process_heartbeat, dtls1_process_heartbeat, ssl3_read_bytes dispatch) are present and executable.",3-case-study-firmware/dolphin-heartbleed,3-case-study-firmware/dolphin-heartbleed/3-case-study/extracted/heartbleed/IPcamera-tp-link_zh-1.0.1e__TL-IPC525K-P--D/_IPcamera-tp-link_zh-1.0.1e__TL-IPC525K-P--D.BIN.extracted/libssl.so.1.0.0
76,4c71fb765448aeab8ef517bcbdc3d5433ac2c6764852f53c3288d53607c384a1,4c71fb76,arm,on,unique_hash_full_dolphin_reuse,IPcamera-tp-link_zh-1.0.1e__TL-IPC525K-P--D,libssl.so.1.0.0,3-case-study/extracted/heartbleed/IPcamera-tp-link_zh-1.0.1e__TL-IPC525K-P--D/_IPcamera-tp-link_zh-1.0.1e__TL-IPC525K-P--D.BIN.extracted/squashfs-root/usr/lib/libssl.so.1.0.0,"ELF 32-bit LSB shared object, ARM, EABI5 version 1 (SYSV), dynamically linked, BuildID[sha1]=6e74922e5b9f52bb3f5788a8d517b42402b1f0c9, stripped",2,dtls1_heartbeat | dtls1_process_heartbeat,"In ssl3_read_bytes (edge_2), a switch statement on TLS record type dispatches case 24 (0x18 = TLS1_RT_HEARTBEAT) directly to tls1_process_heartbeat(a1), confirming heartbeat messages are received and processed in the live SSL read path. Additionally, edge_3 reveals tls1_process_heartbeat reads a 1-byte heartbeat type and 2-byte big-endian payload length from the wire (v6 = v4[2] | (v4[1] << 8)), then on type==1 allocates a response buffer, sets type=2, and does memcpy(v8+3, v4+3, v6) using the wire-controlled length without validating against actual record length — the classic Heartbleed over-read pattern. edge_1 shows the DTLS variant dtls1_process_heartbeat with identical logic calling dtls1_write_bytes. All three feature hint functions (tls1_process_heartbeat, dtls1_process_heartbeat, ssl3_read_bytes dispatch) are present and executable.",3-case-study-firmware/dolphin-heartbleed,3-case-study-firmware/dolphin-heartbleed/3-case-study/extracted/heartbleed/IPcamera-tp-link_zh-1.0.1e__TL-IPC525K-P--D/_IPcamera-tp-link_zh-1.0.1e__TL-IPC525K-P--D.BIN.extracted/squashfs-root/usr/lib/libssl.so.1.0.0
77,4c71fb765448aeab8ef517bcbdc3d5433ac2c6764852f53c3288d53607c384a1,4c71fb76,arm,on,unique_hash_full_dolphin_reuse,IPcamera-tp-link_zh-1.0.1e__TL-IPC525K-P-V6.0,libssl.so.1.0.0,3-case-study/extracted/heartbleed/IPcamera-tp-link_zh-1.0.1e__TL-IPC525K-P-V6.0/_IPcamera-tp-link_zh-1.0.1e__TL-IPC525K-P-V6.0.BIN.extracted/libssl.so.1.0.0,"ELF 32-bit LSB shared object, ARM, EABI5 version 1 (SYSV), dynamically linked, BuildID[sha1]=6e74922e5b9f52bb3f5788a8d517b42402b1f0c9, stripped",2,dtls1_heartbeat | dtls1_process_heartbeat,"In ssl3_read_bytes (edge_2), a switch statement on TLS record type dispatches case 24 (0x18 = TLS1_RT_HEARTBEAT) directly to tls1_process_heartbeat(a1), confirming heartbeat messages are received and processed in the live SSL read path. Additionally, edge_3 reveals tls1_process_heartbeat reads a 1-byte heartbeat type and 2-byte big-endian payload length from the wire (v6 = v4[2] | (v4[1] << 8)), then on type==1 allocates a response buffer, sets type=2, and does memcpy(v8+3, v4+3, v6) using the wire-controlled length without validating against actual record length — the classic Heartbleed over-read pattern. edge_1 shows the DTLS variant dtls1_process_heartbeat with identical logic calling dtls1_write_bytes. All three feature hint functions (tls1_process_heartbeat, dtls1_process_heartbeat, ssl3_read_bytes dispatch) are present and executable.",3-case-study-firmware/dolphin-heartbleed,3-case-study-firmware/dolphin-heartbleed/3-case-study/extracted/heartbleed/IPcamera-tp-link_zh-1.0.1e__TL-IPC525K-P-V6.0/_IPcamera-tp-link_zh-1.0.1e__TL-IPC525K-P-V6.0.BIN.extracted/libssl.so.1.0.0
78,4c71fb765448aeab8ef517bcbdc3d5433ac2c6764852f53c3288d53607c384a1,4c71fb76,arm,on,unique_hash_full_dolphin_reuse,IPcamera-tp-link_zh-1.0.1e__TL-IPC525K-P-V6.0,libssl.so.1.0.0,3-case-study/extracted/heartbleed/IPcamera-tp-link_zh-1.0.1e__TL-IPC525K-P-V6.0/_IPcamera-tp-link_zh-1.0.1e__TL-IPC525K-P-V6.0.BIN.extracted/squashfs-root/usr/lib/libssl.so.1.0.0,"ELF 32-bit LSB shared object, ARM, EABI5 version 1 (SYSV), dynamically linked, BuildID[sha1]=6e74922e5b9f52bb3f5788a8d517b42402b1f0c9, stripped",2,dtls1_heartbeat | dtls1_process_heartbeat,"In ssl3_read_bytes (edge_2), a switch statement on TLS record type dispatches case 24 (0x18 = TLS1_RT_HEARTBEAT) directly to tls1_process_heartbeat(a1), confirming heartbeat messages are received and processed in the live SSL read path. Additionally, edge_3 reveals tls1_process_heartbeat reads a 1-byte heartbeat type and 2-byte big-endian payload length from the wire (v6 = v4[2] | (v4[1] << 8)), then on type==1 allocates a response buffer, sets type=2, and does memcpy(v8+3, v4+3, v6) using the wire-controlled length without validating against actual record length — the classic Heartbleed over-read pattern. edge_1 shows the DTLS variant dtls1_process_heartbeat with identical logic calling dtls1_write_bytes. All three feature hint functions (tls1_process_heartbeat, dtls1_process_heartbeat, ssl3_read_bytes dispatch) are present and executable.",3-case-study-firmware/dolphin-heartbleed,3-case-study-firmware/dolphin-heartbleed/3-case-study/extracted/heartbleed/IPcamera-tp-link_zh-1.0.1e__TL-IPC525K-P-V6.0/_IPcamera-tp-link_zh-1.0.1e__TL-IPC525K-P-V6.0.BIN.extracted/squashfs-root/usr/lib/libssl.so.1.0.0
79,4c71fb765448aeab8ef517bcbdc3d5433ac2c6764852f53c3288d53607c384a1,4c71fb76,arm,on,unique_hash_full_dolphin_reuse,IPcamera-tp-link_zh-1.0.1e__TL-IPC525K-P-_7.0,libssl.so.1.0.0,3-case-study/extracted/heartbleed/IPcamera-tp-link_zh-1.0.1e__TL-IPC525K-P-_7.0/_IPcamera-tp-link_zh-1.0.1e__TL-IPC525K-P-_7.0.BIN.extracted/libssl.so.1.0.0,"ELF 32-bit LSB shared object, ARM, EABI5 version 1 (SYSV), dynamically linked, BuildID[sha1]=6e74922e5b9f52bb3f5788a8d517b42402b1f0c9, stripped",2,dtls1_heartbeat | dtls1_process_heartbeat,"In ssl3_read_bytes (edge_2), a switch statement on TLS record type dispatches case 24 (0x18 = TLS1_RT_HEARTBEAT) directly to tls1_process_heartbeat(a1), confirming heartbeat messages are received and processed in the live SSL read path. Additionally, edge_3 reveals tls1_process_heartbeat reads a 1-byte heartbeat type and 2-byte big-endian payload length from the wire (v6 = v4[2] | (v4[1] << 8)), then on type==1 allocates a response buffer, sets type=2, and does memcpy(v8+3, v4+3, v6) using the wire-controlled length without validating against actual record length — the classic Heartbleed over-read pattern. edge_1 shows the DTLS variant dtls1_process_heartbeat with identical logic calling dtls1_write_bytes. All three feature hint functions (tls1_process_heartbeat, dtls1_process_heartbeat, ssl3_read_bytes dispatch) are present and executable.",3-case-study-firmware/dolphin-heartbleed,3-case-study-firmware/dolphin-heartbleed/3-case-study/extracted/heartbleed/IPcamera-tp-link_zh-1.0.1e__TL-IPC525K-P-_7.0/_IPcamera-tp-link_zh-1.0.1e__TL-IPC525K-P-_7.0.BIN.extracted/libssl.so.1.0.0
80,4c71fb765448aeab8ef517bcbdc3d5433ac2c6764852f53c3288d53607c384a1,4c71fb76,arm,on,unique_hash_full_dolphin_reuse,IPcamera-tp-link_zh-1.0.1e__TL-IPC525K-P-_7.0,libssl.so.1.0.0,3-case-study/extracted/heartbleed/IPcamera-tp-link_zh-1.0.1e__TL-IPC525K-P-_7.0/_IPcamera-tp-link_zh-1.0.1e__TL-IPC525K-P-_7.0.BIN.extracted/squashfs-root/usr/lib/libssl.so.1.0.0,"ELF 32-bit LSB shared object, ARM, EABI5 version 1 (SYSV), dynamically linked, BuildID[sha1]=6e74922e5b9f52bb3f5788a8d517b42402b1f0c9, stripped",2,dtls1_heartbeat | dtls1_process_heartbeat,"In ssl3_read_bytes (edge_2), a switch statement on TLS record type dispatches case 24 (0x18 = TLS1_RT_HEARTBEAT) directly to tls1_process_heartbeat(a1), confirming heartbeat messages are received and processed in the live SSL read path. Additionally, edge_3 reveals tls1_process_heartbeat reads a 1-byte heartbeat type and 2-byte big-endian payload length from the wire (v6 = v4[2] | (v4[1] << 8)), then on type==1 allocates a response buffer, sets type=2, and does memcpy(v8+3, v4+3, v6) using the wire-controlled length without validating against actual record length — the classic Heartbleed over-read pattern. edge_1 shows the DTLS variant dtls1_process_heartbeat with identical logic calling dtls1_write_bytes. All three feature hint functions (tls1_process_heartbeat, dtls1_process_heartbeat, ssl3_read_bytes dispatch) are present and executable.",3-case-study-firmware/dolphin-heartbleed,3-case-study-firmware/dolphin-heartbleed/3-case-study/extracted/heartbleed/IPcamera-tp-link_zh-1.0.1e__TL-IPC525K-P-_7.0/_IPcamera-tp-link_zh-1.0.1e__TL-IPC525K-P-_7.0.BIN.extracted/squashfs-root/usr/lib/libssl.so.1.0.0
81,4dd69101d425652390ca35a2e0874b14d53d97eb3481a9f1f1f310dcc4fe78b1,4dd69101,arm,on,unique_hash_full_dolphin_reuse,IPcamera-tp-link_zh-1.0.1e__TL-IPC6220-DC-V1.0,libssl.so.1.0.0,3-case-study/extracted/heartbleed/IPcamera-tp-link_zh-1.0.1e__TL-IPC6220-DC-V1.0/_IPcamera-tp-link_zh-1.0.1e__TL-IPC6220-DC-V1.0.BIN.extracted/squashfs-root/usr/lib/libssl.so.1.0.0,"ELF 32-bit LSB shared object, ARM, EABI5 version 1 (SYSV), dynamically linked, stripped",2,dtls1_heartbeat | dtls1_process_heartbeat,"In ssl3_read_bytes (edge_2), the record-type dispatch switch contains case 24 (TLS1_RT_HEARTBEAT = 0x18) which calls tls1_process_heartbeat(a1), then clears the read buffer and resets state — confirming the heartbeat extension is integrated into the SSL3 read path. The handler function tls1_process_heartbeat (edge_3) implements full RFC 6520 heartbeat processing: reads message type byte (v5=*v3), reads 2-byte payload length (v6=v3[2]|(v3[1]<<8)), and for type==1 (heartbeat request) allocates a response buffer, sets type=2, calls memcpy(v7+3, v3+3, v6) without bounds-checking v6 against the actual record length (the Heartbleed over-read pattern), then sends via ssl3_write_bytes. Additionally, dtls1_process_heartbeat (edge_1) provides the DTLS variant with the same pattern using dtls1_write_bytes.",3-case-study-firmware/dolphin-heartbleed,3-case-study-firmware/dolphin-heartbleed/3-case-study/extracted/heartbleed/IPcamera-tp-link_zh-1.0.1e__TL-IPC6220-DC-V1.0/_IPcamera-tp-link_zh-1.0.1e__TL-IPC6220-DC-V1.0.BIN.extracted/squashfs-root/usr/lib/libssl.so.1.0.0
82,560c320d386554420cf12cb2a0aeced6ff36ae9c93f451115a53c90f4124e039,560c320d,arm,on,unique_hash_full_dolphin_reuse,others-tp-link_zh-1.0.1e__TL-NVR6400_V1.0_1.0.21_Build_181130_Rel.61665n,libssl.so.1.0.0,3-case-study/extracted/heartbleed/others-tp-link_zh-1.0.1e__TL-NVR6400_V1.0_1.0.21_Build_181130_Rel.61665n/_others-tp-link_zh-1.0.1e__TL-NVR6400_V1.0_1.0.21_Build_181130_Rel.61665n.bin.extracted/squashfs-root/usr/lib/libssl.so.1.0.0,"ELF 32-bit LSB shared object, ARM, EABI5 version 1 (SYSV), dynamically linked, stripped",2,dtls1_heartbeat | dtls1_process_heartbeat,"edge_3 (tls1_process_heartbeat) implements RFC 6520 heartbeat processing: reads heartbeat type byte (v5=*v3), reads 2-byte big-endian payload length (v6=v3[2]|(v3[1]<<8)), for request type 1 allocates buffer, sets response type byte to 2, copies length field, then memcpy(v7+3, v3+3, v6) copying attacker-controlled length without validating against actual record length (Heartbleed pattern), and sends response via ssl3_write_bytes. edge_1 (dtls1_process_heartbeat) shows identical DTLS variant. edge_2 (ssl3_read_bytes) contains the gate: switch on record type with 'case 24: tls1_process_heartbeat(a1)' dispatching TLS1_RT_HEARTBEAT (0x18) records to the heartbeat handler, confirming end-to-end feature activation.",3-case-study-firmware/dolphin-heartbleed,3-case-study-firmware/dolphin-heartbleed/3-case-study/extracted/heartbleed/others-tp-link_zh-1.0.1e__TL-NVR6400_V1.0_1.0.21_Build_181130_Rel.61665n/_others-tp-link_zh-1.0.1e__TL-NVR6400_V1.0_1.0.21_Build_181130_Rel.61665n.bin.extracted/squashfs-root/usr/lib/libssl.so.1.0.0
83,560c320d386554420cf12cb2a0aeced6ff36ae9c93f451115a53c90f4124e039,560c320d,arm,on,unique_hash_full_dolphin_reuse,others-tp-link_zh-1.0.1e__TL-NVR6800_V1.0_1.0.24_Build_190621_Rel.46758n,libssl.so.1.0.0,3-case-study/extracted/heartbleed/others-tp-link_zh-1.0.1e__TL-NVR6800_V1.0_1.0.24_Build_190621_Rel.46758n/_others-tp-link_zh-1.0.1e__TL-NVR6800_V1.0_1.0.24_Build_190621_Rel.46758n.bin.extracted/squashfs-root/usr/lib/libssl.so.1.0.0,"ELF 32-bit LSB shared object, ARM, EABI5 version 1 (SYSV), dynamically linked, stripped",2,dtls1_heartbeat | dtls1_process_heartbeat,"edge_3 (tls1_process_heartbeat) implements RFC 6520 heartbeat processing: reads heartbeat type byte (v5=*v3), reads 2-byte big-endian payload length (v6=v3[2]|(v3[1]<<8)), for request type 1 allocates buffer, sets response type byte to 2, copies length field, then memcpy(v7+3, v3+3, v6) copying attacker-controlled length without validating against actual record length (Heartbleed pattern), and sends response via ssl3_write_bytes. edge_1 (dtls1_process_heartbeat) shows identical DTLS variant. edge_2 (ssl3_read_bytes) contains the gate: switch on record type with 'case 24: tls1_process_heartbeat(a1)' dispatching TLS1_RT_HEARTBEAT (0x18) records to the heartbeat handler, confirming end-to-end feature activation.",3-case-study-firmware/dolphin-heartbleed,3-case-study-firmware/dolphin-heartbleed/3-case-study/extracted/heartbleed/others-tp-link_zh-1.0.1e__TL-NVR6800_V1.0_1.0.24_Build_190621_Rel.46758n/_others-tp-link_zh-1.0.1e__TL-NVR6800_V1.0_1.0.24_Build_190621_Rel.46758n.bin.extracted/squashfs-root/usr/lib/libssl.so.1.0.0
84,560c320d386554420cf12cb2a0aeced6ff36ae9c93f451115a53c90f4124e039,560c320d,arm,on,unique_hash_full_dolphin_reuse,others-tp-link_zh-1.0.1e__nvr6232v1,libssl.so.1.0.0,3-case-study/extracted/heartbleed/others-tp-link_zh-1.0.1e__nvr6232v1/_others-tp-link_zh-1.0.1e__nvr6232v1.bin.extracted/squashfs-root/usr/lib/libssl.so.1.0.0,"ELF 32-bit LSB shared object, ARM, EABI5 version 1 (SYSV), dynamically linked, stripped",2,dtls1_heartbeat | dtls1_process_heartbeat,"edge_3 (tls1_process_heartbeat) implements RFC 6520 heartbeat processing: reads heartbeat type byte (v5=*v3), reads 2-byte big-endian payload length (v6=v3[2]|(v3[1]<<8)), for request type 1 allocates buffer, sets response type byte to 2, copies length field, then memcpy(v7+3, v3+3, v6) copying attacker-controlled length without validating against actual record length (Heartbleed pattern), and sends response via ssl3_write_bytes. edge_1 (dtls1_process_heartbeat) shows identical DTLS variant. edge_2 (ssl3_read_bytes) contains the gate: switch on record type with 'case 24: tls1_process_heartbeat(a1)' dispatching TLS1_RT_HEARTBEAT (0x18) records to the heartbeat handler, confirming end-to-end feature activation.",3-case-study-firmware/dolphin-heartbleed,3-case-study-firmware/dolphin-heartbleed/3-case-study/extracted/heartbleed/others-tp-link_zh-1.0.1e__nvr6232v1/_others-tp-link_zh-1.0.1e__nvr6232v1.bin.extracted/squashfs-root/usr/lib/libssl.so.1.0.0
85,560c320d386554420cf12cb2a0aeced6ff36ae9c93f451115a53c90f4124e039,560c320d,arm,on,unique_hash_full_dolphin_reuse,others-tp-link_zh-1.0.1e__nvr6432v1,libssl.so.1.0.0,3-case-study/extracted/heartbleed/others-tp-link_zh-1.0.1e__nvr6432v1/_others-tp-link_zh-1.0.1e__nvr6432v1.bin.extracted/squashfs-root/usr/lib/libssl.so.1.0.0,"ELF 32-bit LSB shared object, ARM, EABI5 version 1 (SYSV), dynamically linked, stripped",2,dtls1_heartbeat | dtls1_process_heartbeat,"edge_3 (tls1_process_heartbeat) implements RFC 6520 heartbeat processing: reads heartbeat type byte (v5=*v3), reads 2-byte big-endian payload length (v6=v3[2]|(v3[1]<<8)), for request type 1 allocates buffer, sets response type byte to 2, copies length field, then memcpy(v7+3, v3+3, v6) copying attacker-controlled length without validating against actual record length (Heartbleed pattern), and sends response via ssl3_write_bytes. edge_1 (dtls1_process_heartbeat) shows identical DTLS variant. edge_2 (ssl3_read_bytes) contains the gate: switch on record type with 'case 24: tls1_process_heartbeat(a1)' dispatching TLS1_RT_HEARTBEAT (0x18) records to the heartbeat handler, confirming end-to-end feature activation.",3-case-study-firmware/dolphin-heartbleed,3-case-study-firmware/dolphin-heartbleed/3-case-study/extracted/heartbleed/others-tp-link_zh-1.0.1e__nvr6432v1/_others-tp-link_zh-1.0.1e__nvr6432v1.bin.extracted/squashfs-root/usr/lib/libssl.so.1.0.0
86,5ee51663962a624c395ce2d9927eaaf5f38c2eb07491ba2a32dfe463d952a894,5ee51663,arm,on,unique_hash_full_dolphin_reuse,IPcamera-tp-link_zh-1.0.1e__IPC313P-X-V1.0,libssl.so.1.0.0,3-case-study/extracted/heartbleed/IPcamera-tp-link_zh-1.0.1e__IPC313P-X-V1.0/_IPcamera-tp-link_zh-1.0.1e__IPC313P-X-V1.0.BIN.extracted/squashfs-root/usr/lib/libssl.so.1.0.0,"ELF 32-bit LSB shared object, ARM, EABI5 version 1 (SYSV), dynamically linked, stripped",2,dtls1_heartbeat | dtls1_process_heartbeat,"Winner edge_3: tls1_process_heartbeat function reads a 2-byte payload length from the wire (v9 = v6[2] | (v6[1] << 8)), then uses that attacker-controlled length to memcpy(v12+3, v10, v9) into a response buffer without validating against actual record length — the exact RFC 6520 Heartbleed pattern. Response type byte set to 2, payload echoed back via ssl3_write_bytes. Corroborated by edge_1 (dtls1_process_heartbeat with identical pattern using dtls1_write_bytes) and edge_2 (ssl3_read_bytes gate: switch case 24 (0x18=TLS1_RT_HEARTBEAT) dispatches to tls1_process_heartbeat, confirming end-to-end integration).",3-case-study-firmware/dolphin-heartbleed,3-case-study-firmware/dolphin-heartbleed/3-case-study/extracted/heartbleed/IPcamera-tp-link_zh-1.0.1e__IPC313P-X-V1.0/_IPcamera-tp-link_zh-1.0.1e__IPC313P-X-V1.0.BIN.extracted/squashfs-root/usr/lib/libssl.so.1.0.0
87,5ee51663962a624c395ce2d9927eaaf5f38c2eb07491ba2a32dfe463d952a894,5ee51663,arm,on,unique_hash_full_dolphin_reuse,IPcamera-tp-link_zh-1.0.1e__TL-IPC203-X-V1.0,libssl.so.1.0.0,3-case-study/extracted/heartbleed/IPcamera-tp-link_zh-1.0.1e__TL-IPC203-X-V1.0/_IPcamera-tp-link_zh-1.0.1e__TL-IPC203-X-V1.0.BIN.extracted/squashfs-root/usr/lib/libssl.so.1.0.0,"ELF 32-bit LSB shared object, ARM, EABI5 version 1 (SYSV), dynamically linked, stripped",2,dtls1_heartbeat | dtls1_process_heartbeat,"Winner edge_3: tls1_process_heartbeat function reads a 2-byte payload length from the wire (v9 = v6[2] | (v6[1] << 8)), then uses that attacker-controlled length to memcpy(v12+3, v10, v9) into a response buffer without validating against actual record length — the exact RFC 6520 Heartbleed pattern. Response type byte set to 2, payload echoed back via ssl3_write_bytes. Corroborated by edge_1 (dtls1_process_heartbeat with identical pattern using dtls1_write_bytes) and edge_2 (ssl3_read_bytes gate: switch case 24 (0x18=TLS1_RT_HEARTBEAT) dispatches to tls1_process_heartbeat, confirming end-to-end integration).",3-case-study-firmware/dolphin-heartbleed,3-case-study-firmware/dolphin-heartbleed/3-case-study/extracted/heartbleed/IPcamera-tp-link_zh-1.0.1e__TL-IPC203-X-V1.0/_IPcamera-tp-link_zh-1.0.1e__TL-IPC203-X-V1.0.BIN.extracted/squashfs-root/usr/lib/libssl.so.1.0.0
88,5ee51663962a624c395ce2d9927eaaf5f38c2eb07491ba2a32dfe463d952a894,5ee51663,arm,on,unique_hash_full_dolphin_reuse,IPcamera-tp-link_zh-1.0.1e__TL-IPC203P-X-V1.0,libssl.so.1.0.0,3-case-study/extracted/heartbleed/IPcamera-tp-link_zh-1.0.1e__TL-IPC203P-X-V1.0/_IPcamera-tp-link_zh-1.0.1e__TL-IPC203P-X-V1.0.BIN.extracted/squashfs-root/usr/lib/libssl.so.1.0.0,"ELF 32-bit LSB shared object, ARM, EABI5 version 1 (SYSV), dynamically linked, stripped",2,dtls1_heartbeat | dtls1_process_heartbeat,"Winner edge_3: tls1_process_heartbeat function reads a 2-byte payload length from the wire (v9 = v6[2] | (v6[1] << 8)), then uses that attacker-controlled length to memcpy(v12+3, v10, v9) into a response buffer without validating against actual record length — the exact RFC 6520 Heartbleed pattern. Response type byte set to 2, payload echoed back via ssl3_write_bytes. Corroborated by edge_1 (dtls1_process_heartbeat with identical pattern using dtls1_write_bytes) and edge_2 (ssl3_read_bytes gate: switch case 24 (0x18=TLS1_RT_HEARTBEAT) dispatches to tls1_process_heartbeat, confirming end-to-end integration).",3-case-study-firmware/dolphin-heartbleed,3-case-study-firmware/dolphin-heartbleed/3-case-study/extracted/heartbleed/IPcamera-tp-link_zh-1.0.1e__TL-IPC203P-X-V1.0/_IPcamera-tp-link_zh-1.0.1e__TL-IPC203P-X-V1.0.BIN.extracted/squashfs-root/usr/lib/libssl.so.1.0.0
89,5ee51663962a624c395ce2d9927eaaf5f38c2eb07491ba2a32dfe463d952a894,5ee51663,arm,on,unique_hash_full_dolphin_reuse,IPcamera-tp-link_zh-1.0.1e__TL-IPC213-X-V1.0,libssl.so.1.0.0,3-case-study/extracted/heartbleed/IPcamera-tp-link_zh-1.0.1e__TL-IPC213-X-V1.0/_IPcamera-tp-link_zh-1.0.1e__TL-IPC213-X-V1.0.BIN.extracted/squashfs-root/usr/lib/libssl.so.1.0.0,"ELF 32-bit LSB shared object, ARM, EABI5 version 1 (SYSV), dynamically linked, stripped",2,dtls1_heartbeat | dtls1_process_heartbeat,"Winner edge_3: tls1_process_heartbeat function reads a 2-byte payload length from the wire (v9 = v6[2] | (v6[1] << 8)), then uses that attacker-controlled length to memcpy(v12+3, v10, v9) into a response buffer without validating against actual record length — the exact RFC 6520 Heartbleed pattern. Response type byte set to 2, payload echoed back via ssl3_write_bytes. Corroborated by edge_1 (dtls1_process_heartbeat with identical pattern using dtls1_write_bytes) and edge_2 (ssl3_read_bytes gate: switch case 24 (0x18=TLS1_RT_HEARTBEAT) dispatches to tls1_process_heartbeat, confirming end-to-end integration).",3-case-study-firmware/dolphin-heartbleed,3-case-study-firmware/dolphin-heartbleed/3-case-study/extracted/heartbleed/IPcamera-tp-link_zh-1.0.1e__TL-IPC213-X-V1.0/_IPcamera-tp-link_zh-1.0.1e__TL-IPC213-X-V1.0.BIN.extracted/squashfs-root/usr/lib/libssl.so.1.0.0
90,5ee51663962a624c395ce2d9927eaaf5f38c2eb07491ba2a32dfe463d952a894,5ee51663,arm,on,unique_hash_full_dolphin_reuse,IPcamera-tp-link_zh-1.0.1e__TL-IPC213P-X-V1.0,libssl.so.1.0.0,3-case-study/extracted/heartbleed/IPcamera-tp-link_zh-1.0.1e__TL-IPC213P-X-V1.0/_IPcamera-tp-link_zh-1.0.1e__TL-IPC213P-X-V1.0.BIN.extracted/squashfs-root/usr/lib/libssl.so.1.0.0,"ELF 32-bit LSB shared object, ARM, EABI5 version 1 (SYSV), dynamically linked, stripped",2,dtls1_heartbeat | dtls1_process_heartbeat,"Winner edge_3: tls1_process_heartbeat function reads a 2-byte payload length from the wire (v9 = v6[2] | (v6[1] << 8)), then uses that attacker-controlled length to memcpy(v12+3, v10, v9) into a response buffer without validating against actual record length — the exact RFC 6520 Heartbleed pattern. Response type byte set to 2, payload echoed back via ssl3_write_bytes. Corroborated by edge_1 (dtls1_process_heartbeat with identical pattern using dtls1_write_bytes) and edge_2 (ssl3_read_bytes gate: switch case 24 (0x18=TLS1_RT_HEARTBEAT) dispatches to tls1_process_heartbeat, confirming end-to-end integration).",3-case-study-firmware/dolphin-heartbleed,3-case-study-firmware/dolphin-heartbleed/3-case-study/extracted/heartbleed/IPcamera-tp-link_zh-1.0.1e__TL-IPC213P-X-V1.0/_IPcamera-tp-link_zh-1.0.1e__TL-IPC213P-X-V1.0.BIN.extracted/squashfs-root/usr/lib/libssl.so.1.0.0
91,5ee51663962a624c395ce2d9927eaaf5f38c2eb07491ba2a32dfe463d952a894,5ee51663,arm,on,unique_hash_full_dolphin_reuse,IPcamera-tp-link_zh-1.0.1e__TL-IPC303-4-V1.0,libssl.so.1.0.0,3-case-study/extracted/heartbleed/IPcamera-tp-link_zh-1.0.1e__TL-IPC303-4-V1.0/_IPcamera-tp-link_zh-1.0.1e__TL-IPC303-4-V1.0.BIN.extracted/squashfs-root/usr/lib/libssl.so.1.0.0,"ELF 32-bit LSB shared object, ARM, EABI5 version 1 (SYSV), dynamically linked, stripped",2,dtls1_heartbeat | dtls1_process_heartbeat,"Winner edge_3: tls1_process_heartbeat function reads a 2-byte payload length from the wire (v9 = v6[2] | (v6[1] << 8)), then uses that attacker-controlled length to memcpy(v12+3, v10, v9) into a response buffer without validating against actual record length — the exact RFC 6520 Heartbleed pattern. Response type byte set to 2, payload echoed back via ssl3_write_bytes. Corroborated by edge_1 (dtls1_process_heartbeat with identical pattern using dtls1_write_bytes) and edge_2 (ssl3_read_bytes gate: switch case 24 (0x18=TLS1_RT_HEARTBEAT) dispatches to tls1_process_heartbeat, confirming end-to-end integration).",3-case-study-firmware/dolphin-heartbleed,3-case-study-firmware/dolphin-heartbleed/3-case-study/extracted/heartbleed/IPcamera-tp-link_zh-1.0.1e__TL-IPC303-4-V1.0/_IPcamera-tp-link_zh-1.0.1e__TL-IPC303-4-V1.0.BIN.extracted/squashfs-root/usr/lib/libssl.so.1.0.0
